method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	10	5	0.7	full	24	24	1	0	0.36783546653746196	0.21746967852322774	0.3309777654405051	695.8844649891058	14.708333333333334
pysr	100	10	5	0.7	learned_variables	24	24	1	0	0.5404277159717306	0.1818813479879109	0.49523311249272206	5.315890769163768	4.666666666666667
pysr	100	10	5	0.7	random_variables	24	24	1	0	0.2602918589314981	0.276281846837995	0.20849336590937845	5.3333016236623125	4.666666666666667
