method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	10	5	0.7	full	24	24	1	0	0.3714137605855459	0.23940402618074225	0.33748834142367656	6.125766019026439	14.708333333333334
pysr	100	10	5	0.7	learned_variables	24	24	1	0	0.45098000449089787	0.24386141446473275	0.39591970441051183	5.355104207992554	4.541666666666667
pysr	100	10	5	0.7	random_variables	24	24	1	0	0.2419627619375743	0.19982208763606724	0.21410555606153775	5.356591075658798	4.541666666666667
