method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	10	5	0.7	full	48	24	2	0	0.36962461356150395	0.2287069641732547	0.3363416638385313	351.00511550406617	14.708333333333334
pysr	100	10	5	0.7	learned_variables	48	24	2	0	0.49475228883258193	0.22035118257701097	0.4687111105993391	5.33549748857816	4.604166666666667
pysr	100	10	5	0.7	random_variables	48	24	2	0	0.2511273104345362	0.24127629752812005	0.21410555606153775	5.344946349660556	4.604166666666667
pysr	100	20	5	0.7	full	48	24	2	0	0.34021002689242485	0.24617500537919015	0.2941058107936092	6.158953070640564	24.708333333333332
pysr	100	20	5	0.7	learned_variables	48	24	2	0	0.4826715052868271	0.2237807492159987	0.5225912208258789	5.371686354279518	4.3125
pysr	100	20	5	0.7	random_variables	48	24	2	0	-0.0837629249148737	1.17481940870472	0.04979610543117413	5.345408042271932	4.3125
