method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	20	5	0.7	full	24	24	1	0	0.36936164136122623	0.22384628380357516	0.3114030198660114	6.162819395462672	24.708333333333332
pysr	100	20	5	0.7	learned_variables	24	24	1	0	0.48797913052890785	0.2052602476817491	0.5225912208258789	5.368393272161484	4.583333333333333
pysr	100	20	5	0.7	random_variables	24	24	1	0	0.11790089905014446	0.17956678613128943	0.07218527801167307	5.348665088415146	4.583333333333333
