method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	10	5	0.7	full	24	24	1	0	0.7752593247176418	0.18045868077635216	0.8225109191235189	5.497391760349274	14.708333333333334
pysr	100	10	5	0.7	learned_variables	24	24	1	0	0.7902876602046864	0.1763685780349392	0.8607999307364635	5.117256253957748	4.666666666666667
pysr	100	10	5	0.7	random_variables	24	24	1	0	0.281876189910457	0.39064859924804224	0.4145760348187103	5.116533130407333	4.666666666666667
