method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	50	0	5	0.7	full	30	24	2	0	0.442031550210083	0.24096285131392145	0.41118949549087624	6.681914544105529	4.566666666666666
pysr	50	0	5	0.7	learned_variables	30	24	2	0	0.4577545379322912	0.2598768967078067	0.44881461040190873	5.362258267402649	4.566666666666666
pysr	50	0	5	0.7	random_variables	30	24	2	0	0.49789601861177524	0.21260052713592315	0.44068973348522444	5.3785741329193115	4.566666666666666
