method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	50	0	5	0.7	full	37	21	3	0	0.4472087512264061	0.24925424951556993	0.4193709515209513	6.9666710028777254	4.45945945945946
pysr	50	0	5	0.7	learned_variables	37	21	3	0	0.467644691116688	0.25811123476147957	0.44224932213269263	5.382756632727546	4.45945945945946
pysr	50	0	5	0.7	random_variables	37	21	3	0	0.4259053644574072	0.30976248864567574	0.4403038516577722	5.369102374927418	4.45945945945946
