method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	50	0	5	0.7	full	6	6	1	0	0.554441946753464	0.28721457426617747	0.6036544273335624	8.483402609825134	4.0
pysr	50	0	5	0.7	learned_variables	6	6	1	0	0.5576832467398859	0.28067554188656957	0.6144916911978344	5.42673122882843	4.0
pysr	50	0	5	0.7	random_variables	6	6	1	0	0.4054646285513018	0.3035486524045107	0.32159133116300725	5.385633627573649	4.0
