method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	50	0	5	0.7	full	21	21	1	0	0.4374874290427772	0.1900885468993708	0.3639309497820663	6.315108242489043	4.666666666666667
pysr	50	0	5	0.7	learned_variables	21	21	1	0	0.46824737927136456	0.21404229054050303	0.4193709515209513	5.379654941104707	4.666666666666667
pysr	50	0	5	0.7	random_variables	21	21	1	0	0.4318241932216194	0.21664391058825105	0.4193709515209513	5.358376196452549	4.666666666666667
