method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	50	0	5	0.7	full	24	24	1	0	0.43013394678260614	0.23356607860821968	0.36967031097281167	6.222339004278183	4.708333333333333
pysr	50	0	5	0.7	learned_variables	24	24	1	0	0.4240227191129135	0.24384558413721785	0.3384576799159711	5.357280770937602	4.708333333333333
pysr	50	0	5	0.7	random_variables	24	24	1	0	0.4741763586845565	0.2047312025416448	0.4339067024585446	5.3560769359270735	4.708333333333333
