method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	10	5	0.7	full	72	24	3	0	0.34744417287083706	0.21646346000621922	0.3130784645763605	6.146018822987874	14.708333333333334
pysr	100	10	5	0.7	learned_variables	72	24	3	0	0.4949281412758742	0.20160500911133616	0.4864678957920079	5.378070920705795	4.583333333333333
pysr	100	10	5	0.7	random_variables	72	24	3	0	0.2195902612116801	0.25327658381916446	0.15758640325040313	5.38916144768397	4.583333333333333
pysr	100	20	5	0.7	full	72	24	3	0	0.315137681629679	0.27593105448849387	0.2944726014214777	6.199326359563404	24.708333333333332
pysr	100	20	5	0.7	learned_variables	72	24	3	0	0.4882432835903774	0.21033011176757355	0.5066410723642094	5.3729330533080635	4.347222222222222
pysr	100	20	5	0.7	random_variables	72	24	3	0	-0.027949900748045743	0.9711524994977856	0.05533770002525773	5.388971447944641	4.347222222222222
