method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	20	5	0.7	full	24	24	1	0	0.27328272685052873	0.3320713253449188	0.3343092846312131	6.2049636244773865	24.708333333333332
pysr	100	20	5	0.7	learned_variables	24	24	1	0	0.4637450284427659	0.19924571747891145	0.4274855691387359	5.331877917051315	4.416666666666667
pysr	100	20	5	0.7	random_variables	24	24	1	0	0.0808624310730341	0.2233756582228342	0.06573430407395486	5.3912708560625715	4.416666666666667
