method	q	distractors	timeout_seconds	support_threshold	mode	records	datasets	seeds	success	mean_r2	std_r2	median_r2	mean_elapsed_seconds	mean_column_count
pysr	100	20	5	0.7	full	24	24	1	0	0.35489946418853724	0.22770473858697535	0.303278748614215	6.186436613400777	24.708333333333332
pysr	100	20	5	0.7	learned_variables	24	24	1	0	0.5049699153559338	0.20205700597850623	0.5435046230588134	5.389130761226018	4.583333333333333
pysr	100	20	5	0.7	random_variables	24	24	1	0	0.12217960976331306	0.17814087218729655	0.07218527801167307	5.379362682501475	4.583333333333333
